"project","---","acc_average","acc_kurtosis","acc_maximum","acc_median","acc_mininum","acc_mode","acc_skewness","acc_standard_deviation","acc_sum","acc_variance","accm_average","accm_kurtosis","accm_maximum","accm_median","accm_mininum","accm_mode","accm_skewness","accm_standard_deviation","accm_sum","accm_variance","amloc_average","amloc_kurtosis","amloc_maximum","amloc_median","amloc_mininum","amloc_mode","amloc_skewness","amloc_standard_deviation","amloc_sum","amloc_variance","anpm_average","anpm_kurtosis","anpm_maximum","anpm_median","anpm_mininum","anpm_mode","anpm_skewness","anpm_standard_deviation","anpm_sum","anpm_variance","cbo_average","cbo_kurtosis","cbo_maximum","cbo_median","cbo_mininum","cbo_mode","cbo_skewness","cbo_standard_deviation","cbo_sum","cbo_variance","dit_average","dit_kurtosis","dit_maximum","dit_median","dit_mininum","dit_mode","dit_skewness","dit_standard_deviation","dit_sum","dit_variance","lcom4_average","lcom4_kurtosis","lcom4_maximum","lcom4_median","lcom4_mininum","lcom4_mode","lcom4_skewness","lcom4_standard_deviation","lcom4_sum","lcom4_variance","loc_average","loc_kurtosis","loc_maximum","loc_median","loc_mininum","loc_mode","loc_skewness","loc_standard_deviation","loc_sum","loc_variance","mmloc_average","mmloc_kurtosis","mmloc_maximum","mmloc_median","mmloc_mininum","mmloc_mode","mmloc_skewness","mmloc_standard_deviation","mmloc_sum","mmloc_variance","noa_average","noa_kurtosis","noa_maximum","noa_median","noa_mininum","noa_mode","noa_skewness","noa_standard_deviation","noa_sum","noa_variance","noc_average","noc_kurtosis","noc_maximum","noc_median","noc_mininum","noc_mode","noc_skewness","noc_standard_deviation","noc_sum","noc_variance","nom_average","nom_kurtosis","nom_maximum","nom_median","nom_mininum","nom_mode","nom_skewness","nom_standard_deviation","nom_sum","nom_variance","npa_average","npa_kurtosis","npa_maximum","npa_median","npa_mininum","npa_mode","npa_skewness","npa_standard_deviation","npa_sum","npa_variance","npm_average","npm_kurtosis","npm_maximum","npm_median","npm_mininum","npm_mode","npm_skewness","npm_standard_deviation","npm_sum","npm_variance","rfc_average","rfc_kurtosis","rfc_maximum","rfc_median","rfc_mininum","rfc_mode","rfc_skewness","rfc_standard_deviation","rfc_sum","rfc_variance","total_abstract_classes","total_cof","total_eloc","total_loc","total_methods_per_abstract_class","total_modules","total_modules_with_defined_attributes","total_modules_with_defined_methods","total_nom"
"aa-project",,"1,73469387755102","25,5438105704511",21,1,0,1,"4,7806776385491","3,19358412944402",85,"10,1989795918367","3,18297925726053","26,0101924378795",42,"1,94642857142857",0,0,"4,76084988719052","6,39557716301318","155,965983605766","40,9034072480557","18,7106561278611","24,9008513414448",217,"10,8666666666667",0,0,"4,55729040047715","32,976181746763","916,822150265194","1087,42856259555","1,12391985417717","6,21122316404339",8,"0,75",0,0,"2,19733520077075","1,55462978253663","55,0720728546815","2,41687376074988","1,73469387755102","29,5100059875513",27,0,0,0,"5,18522681992199","4,045447596806",85,"16,3656462585034",0,0,0,0,0,0,0,0,0,0,"1,48979591836735","11,4074448733933",15,1,0,0,"3,27923205550256","2,81456367977045",73,"7,92176870748299","159,897959183673","9,77109945036462",1553,37,0,0,"3,17949047123217","321,509087799109",7835,"103368,093537415",50,"5,79885778105966",356,29,0,0,"2,29565865977571","73,8765862773856",2450,"5457,75","7,26530612244898","12,0902955455581",67,2,0,2,"3,14755570686091","11,7416202569536",356,"137,865646258503",0,0,0,0,0,0,0,0,0,0,"6,16326530612245","8,47988638539922",56,1,0,0,"2,63867327662399","10,5620131816325",302,"111,55612244898","7,26530612244898","12,0902955455581",67,2,0,2,"3,14755570686091","11,7416202569536",356,"137,865646258503","6,16326530612245","8,47988638539922",56,1,0,0,"2,63867327662399","10,5620131816325",302,"111,55612244898","39,7755102040816","10,6660988918688",420,4,0,0,"3,14544672727195","79,6260178653211",1949,"6340,30272108843",0,"0,0361394557823129",32489,7835,0,49,42,28,302
"abiword",,0,0,0,0,0,0,0,0,0,0,"5,20833333333333",0,"5,25","5,20833333333333","5,16666666666667","~",0,"0,0589255650988791","10,4166666666667","0,00347222222222224","45,7916666666667",0,"53,25","45,7916666666667","38,3333333333333","~",0,"10,5476761526993","91,5833333333333","111,253472222222","1,54166666666667",0,"1,75","1,54166666666667","1,33333333333333","~",0,"0,294627825494395","3,08333333333333","0,0868055555555555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,0,"221,5",0,230,"221,5",213,"~",0,"12,0208152801713",443,"144,5","98,5",0,126,"98,5",71,"~",0,"38,8908729652601",197,"1512,5","4,5",0,5,"4,5",4,"~",0,"0,707106781186548",9,"0,5",0,0,0,0,0,0,0,0,0,0,5,0,6,5,4,"~",0,"1,4142135623731",10,2,"4,5",0,5,"4,5",4,"~",0,"0,707106781186548",9,"0,5",5,0,6,5,4,"~",0,"1,4142135623731",10,2,22,0,27,22,17,"~",0,"7,07106781186548",44,50,0,0,399,443,0,2,2,2,10
"ablazespace",,"3,87222222222222","17,5264232449847",56,1,0,0,"3,72794812510284","7,7185335652097",697,"59,5757603972688","1,72332014001794","6,65864820523279",15,1,0,0,"2,27367921456985","2,52822295152973","310,19762520323","6,39191129264169","9,07958569732877","7,81638027763731",83,1,0,0,"2,36198642856539","13,6367897523605","1634,32542551918","185,962034750084","0,539371999017261","5,65086611182965","4,83333333333333",0,0,0,"2,30874713731817","0,888705600941069","97,0869598231069","0,789797645144027","3,7","6,44998669143051",36,0,0,0,"2,40505081879993","6,5150449005257",666,"42,4458100558659","0,172222222222222","7,09344076628656",2,0,0,0,"2,89111933498901","0,505064358480506",31,"0,255090006207325","1,26666666666667","9,26702755272632",11,1,0,0,"2,73880343049375","1,96505789074177",228,"3,86145251396648","112,755555555556","10,2684887261065",1187,"3,5",0,0,"3,03531681410349","216,046540150179",20296,"46676,1075108628","31,55","7,73703575796722",307,1,0,0,"2,54720124379565","53,4168047334634",5679,"2853,35502793296","6,92222222222222","17,1948234755277",83,3,0,0,"3,64702786770037","11,0182456884433",1246,"121,4017380509","0,116666666666667","98,6946909432563",11,0,0,0,"9,64294818944496","0,95878764229456",21,"0,919273743016761","6,78333333333333","10,0552093633713",71,1,0,0,"2,76316772753135","11,159721567981",1221,"124,53938547486","3,32777777777778","46,6266399138252",83,1,0,0,"6,17644688248013","8,7439240232657",599,"76,4562073246431","4,96666666666667","9,62979483297243",53,0,0,0,"2,86645244316691","8,98036343219481",894,"80,6469273743017","42,4166666666667","8,93313696813347",443,2,0,0,"2,84294855996635","78,3522254250017",7635,"6139,07122905028",0,"0,0216325263811297",20755,20296,0,180,140,93,1221
"ac3filter",,"3,68101265822785","50,6453795286413",129,1,0,0,"6,25303807076378","11,1578211847659",1454,"124,49697359121","2,05383373520226","21,7870339856787",25,"1,33333333333333",0,0,"3,69638051275021","2,63611725364562","811,264325404894","6,94911417496812","12,6621351744288","57,6995849626653",288,"5,66666666666667",0,0,"6,06583480968315","22,8617004407499","5001,54339389937","522,657347042584","0,952644821836101","14,3675663728477","10,0952380952381","0,666666666666667",0,0,"2,97244261942056","1,17964415986126","376,29470462526","1,39156034389477","3,05569620253164","4,76493775196556",24,1,0,0,"2,0678601413703","4,2572049061628",1207,"18,1237936130566","0,513924050632912","2,38301612065234",4,0,0,0,"1,81009535168839","0,904968543808592",203,"0,818968065283043","3,20253164556962","29,9148017943736",60,1,0,1,"5,18492596822589","7,65197918532691",1265,"58,5527854526762","113,450632911392","45,7290354031359",2797,29,0,0,"5,6409765374132","249,004188227175",44813,"62003,0857546746","40,6050632911393","18,9483024193217",604,12,0,0,"3,78985538913817","74,5300401036476",16039,"5554,72687785131","5,10886075949368","17,8314462278414",66,3,0,0,"3,69966904764561","7,81809676479577",2018,"61,1226370237101","0,324050632911393","71,7458434819271",19,0,0,0,"7,8681112972831","1,74556836916804",128,"3,04700893143995","7,64556962025316","41,0961911887569",150,4,0,0,"5,34730479291964","13,6443569476473",3020,"186,168476514811","3,09113924050633","26,3845158710163",66,1,0,0,"4,68034072943258","7,36308514214742",1221,"54,2150228105121","6,82784810126582","37,5657354001958",131,3,0,0,"5,27646138908774","12,7637945353776",2697,"162,914450941335","33,1164556962025","51,1017711051557",770,12,0,0,"6,03053778320142","67,0517385473961",13081,"4495,93564222836",14,"0,0093426717213905",60303,44813,"8,64285714285714",395,310,294,3020
"accessrunner",,"0,5",0,1,"0,5",0,"~",0,"0,707106781186548",1,"0,5","3,4279497098646",0,"3,4468085106383","3,4279497098646","3,40909090909091","~",0,"0,0266703718242507","6,85589941972921","0,000711308733243785","20,4342359767892",0,"22,5957446808511","20,4342359767892","18,2727272727273","~",0,"3,05683492447182","40,8684719535783","9,34423975547066","1,79061895551257",0,"1,80851063829787","1,79061895551257","1,77272727272727","~",0,"0,0253026604486484","3,58123791102514","0,000640224625779595","0,5",0,1,"0,5",0,"~",0,"0,707106781186548",1,"0,5",0,0,0,0,0,0,0,0,0,0,"16,5",0,23,"16,5",10,"~",0,"9,19238815542512",33,"84,5",732,0,1062,732,402,"~",0,"466,690475583121",1464,217800,"133,5",0,178,"133,5",89,"~",0,"62,9325035256027",267,"3960,5",47,0,79,47,15,"~",0,"45,254833995939",94,2048,0,0,0,0,0,0,0,0,0,0,"34,5",0,47,"34,5",22,"~",0,"17,6776695296637",69,"312,5",47,0,79,47,15,"~",0,"45,254833995939",94,2048,"34,5",0,47,"34,5",22,"~",0,"17,6776695296637",69,"312,5","167,5",0,265,"167,5",70,"~",0,"137,885822331377",335,"19012,5",0,"0,5",1729,1464,0,2,2,2,69
"acegisecurity",,"1,81725888324873","28,1545877796253",37,0,0,0,"4,55316253997699","3,95934898380492",716,"15,676444375557","1,63756921937054","89,4444612673542",22,"1,2",0,1,"8,20985209782185","1,59239412055214","645,202272431992","2,53571903516903","6,8575789652114","74,4062857631075",126,"4,8",0,1,"7,00026212022646","9,36453651634562","2701,88611229329","87,6945441659706","1,07330314089925","0,871550838853538",3,1,0,1,"0,82969983887462","0,625227798178563","422,881437514303","0,390909799615214","0,936548223350254","4,15051044247893",8,0,0,0,"2,06865305228515","1,54772566095777",369,"2,39545472158717","1,22335025380711","-0,0999552345947419",4,1,0,1,"0,686767535042753","0,99149715573699",482,"0,983066609834541","2,10152284263959","16,4816429480531",16,2,0,1,"3,43682347424565","1,88332652363903",828,"3,54691879464228","39,4492385786802","6,15823408080849",305,"16,5",0,3,"2,39068389355418","55,7488799912958",15543,"3107,9376202839","17,6472081218274","14,461111907717",219,8,0,1,"3,07200676675355","24,7403802946109",6953,"612,08641712197","1,95939086294416","7,84132731242649",20,1,0,0,"2,46898342658513","2,91759174881283",772,"8,51234161274073","0,598984771573605","29,7193316696326",13,0,0,0,"4,65962716551618","1,3746520206527",236,"1,88966817788455","4,98984771573604","10,7527342360493",38,3,0,1,"2,73386888020332","5,07850817360486",1966,"25,7912452693714","0,152284263959391","77,4632855969916",10,0,0,0,"7,82586201622187","0,779611282017812",60,"0,607793751049457","4,10659898477157","8,90590743956666",31,3,0,2,"2,40779943851043","4,35846777318265",1618,"18,9962413298718","12,3401015228426","10,3265895153216",117,6,0,1,"2,8094914946878","16,1448931097906",4862,"260,657573526563",8,"0,00462406840521307",16831,15543,"14,625",394,221,390,1966
"acetoneiso",,0,0,0,0,0,0,0,0,0,0,"1,33333333333333","-1,5",2,1,1,1,"0,707106781186547","0,5",12,"0,25","14,1666666666667","-0,873409727294863",27,14,5,14,"0,274753449108311","7,44983221287567","127,5","55,5","1,87037037037037","4,125",2,2,"0,833333333333333",2,"-2,47487373415292","0,388888888888889","16,8333333333333","0,151234567901235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,55555555555556","4,125",6,1,1,1,"2,47487373415292","1,66666666666667",14,"2,77777777777778","23,8888888888889","3,39964718849554",105,14,5,14,"2,22229860261182","31,2907512072036",215,"979,111111111111","17,4444444444444","0,726239624324601",47,14,5,14,"1,2405126761548","13,2957804501194",157,"176,777777777778","10,6666666666667","3,69753399393055",71,0,0,0,"2,32795552475216","22,9945645751338",96,"528,75",0,0,0,0,0,0,0,0,0,0,"1,55555555555556","4,125",6,1,1,1,"2,47487373415292","1,66666666666667",14,"2,77777777777778","4,22222222222222","0,33188536417605",17,0,0,0,"1,16187396987691","5,89019901569076",38,"34,6944444444444","1,44444444444444","4,125",5,1,1,1,"2,47487373415292","1,33333333333333",13,"1,77777777777778","2,55555555555556","2,36992743886052",9,1,1,1,"1,87156681573141","2,60341655863555",23,"6,77777777777778",0,0,4730,215,0,9,4,9,14
"actiongame",,"3,23908045977011","29,5146853250686",72,1,0,0,"5,06102803848529","8,22146449333514",1409,"67,5924784151704","1,22160840447645","34,9677817409338",23,1,0,0,"4,8436788735965","2,17545878615586","531,399655947257","4,73262093026275","5,36792673282187","51,9731367072013",153,1,0,0,"5,67630890771835","12,2314051176056","2335,04812877751","149,60727115099","0,729440239455664","2,39022220516862","5,33333333333333",0,0,0,"1,54571649205017","1,0059236720242","317,306504163214","1,01188243393865","3,05977011494253","91,6184961415108",123,0,0,0,"7,70516009847726","8,55834488836113",1331,"73,2452672281371","0,195402298850575","7,64403393345273",3,0,0,0,"2,82291071282879","0,522292898999147",85,"0,272789872344934","4,98620689655172","101,735141686808",212,1,0,0,"8,32467461518868","14,3873277927836",2169,"206,995201017003","109,72183908046","189,948118869692",8784,2,0,0,"12,3811816481514","515,480848720427",47729,"265720,505397532","22,7563218390804","50,6939289924527",708,1,0,0,"6,07622956551301","65,3102515949716",9899,"4265,42896339849","5,52413793103449","17,0173148127823",64,3,0,0,"3,62430667305999","8,24404498829001",2403,"67,9642777689497","0,124137931034483","94,6495419968992",10,0,0,0,"8,71878349029399","0,723688312437006",54,"0,523724773557922","8,38850574712642","130,676503629147",384,1,0,0,"9,5193069444128","24,4176101051257",3649,"596,219683245935","5,39080459770115","17,5147711555152",64,3,0,0,"3,69092484050276","8,21563688604218",2345,"67,4966894432968","8,367816091954","131,030006689083",384,1,0,0,"9,53746284895144","24,4028757382792",3640,"595,500344297897","38,8","211,831631943265",2969,2,0,0,"13,1106934120843","168,858075819859",16878,"28513,0497695852",9,"0,00746331903172839",55475,47729,22,435,350,241,3649
"acx100",,"1,57142857142857","-1,08723958333333",4,1,0,1,"0,478415965387339","1,51185789203691",11,"2,28571428571429","2,76739304860333","-0,933340837461987",8,"1,14678899082569",0,0,"0,675460521209201","3,04688739165008","19,3717513402233","9,28352277739621","23,4597824171371","-1,33208039499513","59,6521739130435","27,8807339449541",0,0,"0,225739565074715","23,5838337632418","164,21847691996","556,197214972223","1,50917808854166","-1,04323498665938","2,94285714285714","1,85542168674699",0,0,"-0,495202147071559","1,09966654842114","10,5642466197916","1,20926651771646","1,57142857142857","-1,37537190082645",4,2,0,0,"0,244433136515688","1,61834718742537",11,"2,61904761904762",0,0,0,0,0,0,0,0,0,0,"26,7142857142857","-1,23604935580618",70,14,0,0,"0,493673772097997","27,2929434452344",187,"744,904761904762","1433,57142857143","-1,74632232259137",3098,1372,0,0,"0,0867260252440767","1432,60867617351",10035,"2052367,61904762",191,"-1,5460288455778",440,187,0,440,"0,261388467422476","197,907385747307",1337,"39167,3333333333",83,"2,15850073013084",547,3,0,3,"2,03751953975687","204,69408068302",581,"41899,6666666667",0,0,0,0,0,0,0,0,0,0,"49,8571428571429","-1,43577013170358",109,64,0,0,"-0,0301378586893058","42,612316574079",349,"1815,80952380952",83,"2,15850073013084",547,3,0,3,"2,03751953975687","204,69408068302",581,"41899,6666666667","49,8571428571429","-1,43577013170358",109,64,0,0,"-0,0301378586893058","42,612316574079",349,"1815,80952380952","190,714285714286","-1,11806774674518",529,94,0,0,"0,661244597277794","209,558038329651",1335,"43914,5714285714",0,"0,261904761904762",9223,10035,0,7,5,5,349
"adempiere",,"2,11111111111111","11,1078998364011",20,1,0,0,"3,48563420867426","4,61313838418424",38,"21,281045751634","3,07959433252745","8,67327393350596","15,6666666666667","1,775",1,"1,5","3,04058651986048","3,40863665134615","55,432697985494","11,6188038209003","18,9725360885144","9,42442886972751",132,"6,33552631578947",1,6,"3,17569827887519","30,1054201383768","341,505649593259","906,336321708183","1,18238076720046","8,92657715265373",6,"0,767857142857143",0,"0,785714285714286","3,04162855223336","1,29708811785909","21,2828538096082","1,68243758549125","1,5","1,37692383099696",6,1,0,1,"1,59600024568335","1,72353944988042",27,"2,97058823529412","0,611111111111111","-0,696843918866003",2,1,0,1,"0,37295836197863","0,607684988914186",11,"0,369281045751634","18,1666666666667","2,19258584210338",78,14,1,3,"1,57929315945833","20,2462777987926",327,"409,911764705882","382,277777777778","5,73745228465082",2516,"125,5",5,84,"2,5430594652534","628,031828113976",6881,"394423,977124183","66,4444444444444","3,02320400988284",380,"13,5",1,10,"1,94102581030933","101,962058815564",1196,"10396,2614379085","15,5","7,19182583340851",93,"9,5",0,11,"2,6698322443548","21,723530208184",279,"471,911764705882","0,555555555555556","12,1391652249135",8,0,0,0,"3,70312665726431","1,88561808316413",10,"3,55555555555555","25,7777777777778","4,26666290858554",128,16,2,14,"2,20604410372846","31,844392904829",464,"1014,06535947712","11,0555555555556","4,59372826409597",62,6,0,0,"2,18618821657299","15,4747316700949",199,"239,467320261438","19,7222222222222","0,919770426576",70,13,0,7,"1,39106119406509","20,4444888462149",355,"417,977124183007","60,8333333333333","8,1328864939229",360,33,5,5,"2,89136599034371","81,9772206523395",1095,"6720,26470588235",2,"0,124183006535948",6755,6881,"104,5",18,16,18,464
